Problem Number;Change Date;Problem Status;Problem Sub Status;ST Function Division;Org Line;Owner ST;Support Line Number;Problem Latest Impact;Product;Country;Action Owner Country;Action Owner First Name
1-579250167;2011-09-30 03:22;Accepted;In Progress;E_4; C;G88;2nd;Medium;PROD793;us;INDIA;Hineesh
1-579250167;2012-01-05 21:58;Accepted;Wait;E_4; C;G88;2nd;Medium;PROD793;us;INDIA;Hineesh
1-579250167;2012-04-12 13:37;Completed;Closed;E_4; C;G88;2nd;Medium;PROD793;us;INDIA;Hineesh
1-579636429;2011-09-30 20:11;Accepted;In Progress;; G4;S33;2nd;Medium;PROD374;se;Sweden;Roland
1-579636429;2012-01-26 11:38;Completed;Closed;; G4;S33;2nd;Medium;PROD374;se;Sweden;Roland
1-580464971;2011-10-03 21:02;Accepted;In Progress;A2_3; A2;S3;2nd;High;PROD412;se;Brazil;Carlos
1-580464971;2011-12-09 12:34;Queued;Awaiting Assignment;A2_3; A2;S3;2nd;High;PROD412;se;Brazil;Carlos
1-580464971;2011-12-19 13:54;Accepted;In Progress;E_6; B;S4;2nd;High;PROD412;se;Brazil;Thiago
1-580464971;2011-12-19 14:01;Queued;Awaiting Assignment;A2_3; A2;S21;2nd;High;PROD412;se;Sweden;Viktoria
1-580464971;2012-02-20 10:41;Accepted;In Progress;; G4;S30;2nd;High;PROD412;se;Sweden;Adam
1-581740771;2011-10-05 14:24;Accepted;In Progress;E_7; C;G153;2nd;Medium;PROD671;se;Sweden;Peter
1-581740771;2012-02-01 21:18;Completed;Closed;E_7; C;G153;2nd;Medium;PROD671;se;Sweden;Peter
1-581898739;2011-10-06 01:09;Accepted;In Progress;E_10; C;G138;2nd;Medium;PROD802;se;Sweden;Ann-Charlotte
1-581898739;2011-10-06 01:22;Queued;Awaiting Assignment;E_10; C;G138;2nd;Medium;PROD802;se;Sweden;Ann-Charlotte
1-581898739;2011-10-06 09:17;Accepted;In Progress;E_10; C;G143;2nd;Medium;PROD802;se;Sweden;Mats
1-581898739;2011-10-06 09:17;Queued;Awaiting Assignment;C_6; C;G273;3rd;Medium;PROD802;se;Sweden;Martin
1-581898739;2011-10-25 14:10;Queued;Awaiting Assignment;E_10; C;G271;2nd;Medium;PROD802;se;Sweden;Praveen
1-581898739;2011-10-25 14:11;Queued;Awaiting Assignment;E_10; C;G138;2nd;Medium;PROD802;se;Sweden;Ann-Charlotte
1-581898739;2011-10-25 14:13;Accepted;In Progress;E_10; C;G143;2nd;Medium;PROD802;se;Sweden;Mats
1-581898739;2011-10-25 14:14;Completed;Closed;E_10; C;G143;2nd;Medium;PROD802;se;Sweden;Mats
1-581898739;2011-10-28 15:00;Accepted;In Progress;E_10; C;G143;2nd;Medium;PROD802;se;Sweden;Mats
1-582296121;2011-10-06 10:02;Accepted;In Progress;E_2; C;G57;2nd;Medium;PROD327;se;Sweden;Olle
1-582296121;2012-02-08 11:01;Completed;Closed;E_2; C;G57;2nd;Medium;PROD327;se;Sweden;Olle
1-583931536;2011-10-10 06:38;Accepted;In Progress;V3_2; C;S25;1st;Major;PROD535;se;Sweden;Richard
1-583931536;2012-02-02 15:25;Completed;Closed;V3_2; C;S25;1st;Major;PROD535;se;Sweden;Richard
1-584776062;2011-10-11 14:38;Accepted;In Progress;; G4;S33;2nd;High;PROD448;se;Sweden;Samira
1-584776062;2011-12-09 10:26;Accepted;Wait;; G4;S33;2nd;High;PROD448;se;Sweden;Samira
1-584776062;2012-02-15 17:20;Completed;Closed;; G4;S33;2nd;High;PROD448;se;Sweden;Samira
1-584812041;2011-10-11 15:57;Accepted;In Progress;A2_1; A2;G42;3rd;Low;PROD235;gb;United Kingdom;Ian
1-584812041;2011-10-11 16:01;Accepted;Assigned;A2_1; A2;G42;3rd;Low;PROD235;gb;United Kingdom;Ian
1-587383007;2011-10-14 16:06;Accepted;In Progress;A2_4; A2;G105;2nd;Medium;PROD337;se;Sweden;Vikrant
1-587383007;2012-01-04 12:07;Completed;Closed;A2_4; A2;G105;2nd;Medium;PROD337;se;Sweden;Vikrant
1-588543315;2011-10-17 15:05;Accepted;In Progress;A2_4; A2;G105;2nd;Medium;PROD337;se;Sweden;Vikrant
1-588543315;2012-01-25 14:26;Completed;Closed;A2_4; A2;G105;2nd;Medium;PROD337;se;Sweden;Vikrant
1-588712865;2011-10-17 18:46;Accepted;In Progress;V3_3; C;N22;2nd;High;PROD671;us;USA;Kymaria
1-588712865;2011-10-17 19:40;Queued;Awaiting Assignment;V3_3; C;N22;2nd;High;PROD671;us;USA;Kymaria
1-588712865;2011-10-17 19:40;Queued;Awaiting Assignment;V3_3; C;N22;2nd;High;PROD671;us;USA;Kymaria
1-588712865;2011-10-18 13:39;Accepted;In Progress;V3_3; C;N22;2nd;High;PROD671;us;USA;Kymaria
1-588712865;2011-10-18 19:49;Accepted;Wait;V3_3; C;N22;2nd;High;PROD671;us;USA;Kymaria
1-588712865;2012-01-06 15:50;Completed;Closed;V3_3; C;N22;2nd;High;PROD671;us;USA;Kymaria
1-589370341;2011-10-18 15:07;Accepted;In Progress;A2_3; A2;U6;2nd;Medium;PROD802;se;Sweden;Agneta
1-589370341;2011-10-18 15:07;Accepted;In Progress;A2_3; A2;U6;2nd;Medium;PROD802;se;Sweden;Agneta
1-589370341;2011-10-18 15:10;Queued;Awaiting Assignment;A2_3; A2;U6;2nd;Medium;PROD802;se;Sweden;Agneta
1-589370341;2011-11-28 13:46;Accepted;In Progress;A2_3; A2;U6;2nd;Medium;PROD802;se;Sweden;Agneta
1-589421537;2011-10-18 15:37;Accepted;In Progress;C_6; C;G225;3rd;High;PROD804;fr;France;Nicolas
1-589421537;2012-03-30 11:43;Completed;Closed;C_6; C;G225;3rd;High;PROD804;fr;France;Nicolas
1-589962550;2011-10-19 14:02;Accepted;In Progress;D_1; A2;L38;3rd;Medium;PROD607;se;Sweden;Stefan
1-589962550;2012-02-22 10:50;Completed;Closed;D_1; A2;L38;3rd;Medium;PROD607;se;Sweden;Stefan
1-590574771;2011-10-19 20:47;Queued;Awaiting Assignment;E_4; C;G88;2nd;High;PROD348;us;USA;Robert
1-590574771;2011-10-20 10:38;Accepted;In Progress;E_4; C;G88;2nd;High;PROD348;us;INDIA;Ramith
1-590574771;2011-11-06 19:42;Completed;Closed;E_4; C;G88;2nd;High;PROD348;us;INDIA;Ramith
1-590574771;2011-11-11 15:47;Accepted;In Progress;E_4; C;G88;2nd;High;PROD348;us;INDIA;Ramith
1-590574771;2012-01-04 07:12;Completed;Closed;E_4; C;G88;2nd;High;PROD348;us;INDIA;Ramith
1-590579544;2011-10-19 20:55;Accepted;In Progress;; G4;S33;2nd;High;PROD374;se;Sweden;Roland
1-590579544;2012-01-26 11:18;Completed;Closed;; G4;S33;2nd;High;PROD374;se;Sweden;Roland
1-591627183;2011-10-21 04:54;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Srinivasan
1-591627183;2011-10-21 04:56;Queued;Awaiting Assignment;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Srinivasan
1-591627183;2011-10-22 19:51;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-591627183;2012-03-13 11:34;Completed;Closed;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-593312167;2011-10-24 08:11;Accepted;In Progress;A2_1; A2;G42;3rd;Medium;PROD236;gb;United Kingdom;Ian
1-593312167;2011-10-24 08:14;Accepted;Wait;A2_1; A2;G42;3rd;Medium;PROD236;gb;United Kingdom;Ian
1-594472343;2011-10-25 13:12;Accepted;Wait;A2_3; A2;S35;2nd;Low;PROD551;se;Sweden;Urban
1-594472343;2011-11-28 11:10;Accepted;Assigned;A2_3; A2;S35;2nd;Low;PROD551;se;Sweden;Urban
1-594472343;2012-02-29 14:03;Accepted;In Progress;A2_3; A2;S35;2nd;Low;PROD551;se;Sweden;Urban
1-594472343;2012-02-29 14:03;Completed;Closed;A2_3; A2;S35;2nd;Low;PROD551;se;Sweden;Urban
1-594666837;2011-10-25 14:23;Accepted;In Progress;E_4; C;G88;2nd;Medium;PROD348;us;Sweden;J÷rgen
1-594666837;2012-02-28 16:00;Completed;Closed;E_4; C;G88;2nd;Medium;PROD348;us;Sweden;J÷rgen
1-595293983;2011-10-26 09:56;Queued;Awaiting Assignment;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Srinivasan
1-595293983;2011-10-27 12:50;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-595293983;2011-12-30 05:05;Completed;Closed;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-595293983;2011-12-30 05:36;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-595293983;2012-01-31 12:56;Completed;Closed;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-595687232;2012-03-23 10:49;Accepted;In Progress;; G4;S30;2nd;Medium;PROD412;se;Sweden;Marco
1-595687232;2012-03-23 10:51;Completed;Closed;; G4;S30;2nd;Medium;PROD412;se;Sweden;Marco
1-596251950;2011-10-27 08:39;Accepted;In Progress;; G4;S30;2nd;Medium;PROD408;se;Sweden;Christer
1-596251950;2011-10-27 11:37;Accepted;Assigned;; G4;S30;2nd;Medium;PROD408;se;Sweden;Christer
1-596251950;2012-03-23 13:52;Accepted;In Progress;; G4;S30;2nd;Medium;PROD408;se;Sweden;Christer
1-596251950;2012-03-23 13:52;Completed;Closed;; G4;S30;2nd;Medium;PROD408;se;Sweden;Christer
1-596331167;2011-10-27 10:48;Accepted;In Progress;C_6; C;G273;3rd;Medium;PROD802;se;Sweden;Martin
1-596331167;2011-10-27 11:25;Queued;Awaiting Assignment;C_6; C;G273;3rd;Medium;PROD802;se;Sweden;Martin
1-596608752;2011-10-27 14:32;Accepted;In Progress;C_6; C;G250;3rd;Medium;PROD660;se;Sweden;Tomas
1-596608752;2011-10-27 14:33;Accepted;In Progress;C_6; C;G250;3rd;Medium;PROD660;se;Sweden;Tomas
1-596608752;2012-01-30 13:42;Completed;Closed;C_6; C;G250;3rd;Medium;PROD660;se;Sweden;Tomas
1-597616526;2011-10-28 15:32;Accepted;In Progress;C_1; C;G100;3rd;Major;PROD153;se;Sweden;B÷rje
1-597616526;2012-01-03 12:19;Completed;Closed;C_1; C;G100;3rd;Major;PROD153;se;Sweden;B÷rje
1-599157751;2011-10-31 23:40;Accepted;In Progress;E_10; C;G138;2nd;Low;PROD802;se;Sweden;Ann-Charlotte
1-599157751;2011-10-31 23:48;Queued;Awaiting Assignment;E_10; C;G138;2nd;Low;PROD802;se;Sweden;Ann-Charlotte
1-599157751;2011-11-18 07:34;Queued;Awaiting Assignment;C_6; C;R4;3rd;Low;PROD802;se;Sweden;Martin
1-599157751;2011-11-18 10:43;Accepted;In Progress;C_6; C;G273;3rd;Low;PROD802;se;Sweden;Lennart
1-599157751;2012-04-11 09:03;Completed;Closed;C_6; C;G273;3rd;Low;PROD802;se;Sweden;Lennart
1-599626401;2011-11-01 16:12;Queued;Awaiting Assignment;E_4; C;G88;2nd;High;PROD793;us;USA;Robert
1-599626401;2012-01-06 18:54;Accepted;In Progress;E_4; C;G88;2nd;High;PROD793;us;USA;Robert
1-599626401;2012-01-06 18:56;Completed;Closed;E_4; C;G88;2nd;High;PROD793;us;USA;Robert
1-600432558;2011-11-02 09:00;Accepted;In Progress;; G4;S30;2nd;High;PROD412;se;Sweden;Andreas
1-600432558;2011-11-02 09:03;Accepted;Assigned;; G4;S30;2nd;High;PROD412;se;Sweden;Andreas
1-600663061;2011-11-02 13:11;Accepted;In Progress;C_1; C;G100;3rd;Medium;PROD153;se;Sweden;B÷rje
1-600663061;2011-11-02 13:11;Queued;Awaiting Assignment;C_1; C;G100;3rd;Medium;PROD153;se;Sweden;B÷rje
1-600663061;2011-11-09 13:36;Accepted;In Progress;C_1; C;G100;3rd;Medium;PROD153;se;Sweden;B÷rje
1-600663061;2012-01-03 11:03;Completed;Closed;C_1; C;G100;3rd;Medium;PROD153;se;Sweden;B÷rje
1-602870173;2011-11-06 09:00;Accepted;In Progress;E_10; C;G271;2nd;High;PROD802;se;Sweden;Praveen
1-602870173;2011-11-06 09:10;Queued;Awaiting Assignment;E_10; C;G271;2nd;High;PROD802;se;Sweden;Praveen
1-602870173;2011-11-07 08:35;Accepted;In Progress;E_10; C;G271;2nd;High;PROD802;se;Sweden;Sameer
1-602870173;2011-11-07 08:38;Queued;Awaiting Assignment;C_6; C;G273;3rd;High;PROD802;se;Sweden;Martin
1-602870173;2011-11-07 11:47;Queued;Awaiting Assignment;E_10; C;R6;2nd;High;PROD802;se;Sweden;Daniel
1-602870173;2011-11-09 12:08;Accepted;Assigned;E_10; C;R6;2nd;High;PROD802;se;Sweden;Daniel
1-602870173;2011-12-07 13:27;Queued;Awaiting Assignment;E_10; C;G271;2nd;High;PROD802;se;Sweden;Praveen
1-602870173;2011-12-07 13:29;Accepted;In Progress;E_10; C;G271;2nd;High;PROD802;se;Sweden;Arun
1-602870173;2011-12-07 13:29;Accepted;Assigned;E_10; C;G271;2nd;High;PROD802;se;Sweden;Partha
1-602870173;2011-12-07 13:50;Queued;Awaiting Assignment;C_6; C;G273;3rd;High;PROD802;se;Sweden;Martin
1-603798757;2011-11-07 11:57;Accepted;In Progress;E_8; C;G119;2nd;High;PROD597;in;INDIA;Anup
1-603798757;2012-05-23 12:07;Completed;Closed;E_8; C;G119;2nd;High;PROD597;in;INDIA;Anup
1-604882241;2011-11-08 19:21;Accepted;In Progress;; C;G163;3rd;High;PROD671;in;Sweden;Stefan
1-604882241;2011-11-08 19:30;Queued;Awaiting Assignment;; C;G163;3rd;High;PROD671;in;Sweden;Stefan
1-604882241;2011-11-11 07:58;Accepted;In Progress;E_7; C;G157;2nd;High;PROD671;in;Sweden;Stefan
1-604882241;2012-01-04 16:45;Queued;Awaiting Assignment;; C;G163;3rd;High;PROD671;in;Sweden;Stefan
1-605279637;2011-11-09 14:27;Accepted;In Progress;A2_1; A2;G42;3rd;High;PROD236;gb;United Kingdom;Timothy
1-605279637;2012-02-15 11:44;Completed;Closed;A2_1; A2;G42;3rd;High;PROD236;gb;United Kingdom;Timothy
1-606971198;2012-03-14 12:25;Accepted;In Progress;E_1; C;G99;2nd;High;PROD153;se;Sweden;Jari
1-607158761;2011-11-14 14:38;Accepted;In Progress;E_6; C;V29;2nd;High;PROD412;se;France;Bruno
1-607158761;2011-11-14 14:38;Accepted;In Progress;E_6; C;V29;2nd;High;PROD412;se;France;Bruno
1-607158761;2011-11-17 13:32;Queued;Awaiting Assignment;; G4;S30;2nd;High;PROD412;se;Sweden;Viktoria
1-607840637;2011-11-15 14:15;Accepted;In Progress;; G4;S33;2nd;Low;PROD448;se;Sweden;Rickard
1-607840637;2012-01-27 13:46;Completed;Closed;; G4;S33;2nd;Low;PROD448;se;Sweden;Rickard
1-607934151;2011-11-15 15:37;Accepted;Wait;A2_1; A2;G42;3rd;High;PROD236;gb;United Kingdom;Alan
1-607934151;2012-02-15 11:35;Completed;Closed;A2_1; A2;G42;3rd;High;PROD236;gb;United Kingdom;Alan
1-611506787;2011-11-18 08:28;Accepted;In Progress;C_1; C;G100;3rd;Low;PROD153;se;Sweden;B÷rje
1-611506787;2011-12-27 14:47;Accepted;Wait;C_1; C;G100;3rd;Low;PROD153;se;Sweden;B÷rje
1-611506787;2012-01-03 10:49;Completed;Closed;C_1; C;G100;3rd;Low;PROD153;se;Sweden;B÷rje
1-612515539;2011-11-19 20:35;Accepted;In Progress;E_10; C;G271;2nd;High;PROD802;se;Sweden;Praveen
1-612515539;2011-11-19 20:37;Queued;Awaiting Assignment;E_10; C;G271;2nd;High;PROD802;se;Sweden;Praveen
1-612515539;2011-11-21 08:07;Queued;Awaiting Assignment;C_6; C;G273;3rd;High;PROD802;se;Sweden;Martin
1-613033122;2011-11-21 09:34;Accepted;In Progress;; G4;S33;2nd;Medium;PROD374;se;Sweden;Roland
1-613033122;2011-11-28 16:12;Accepted;Wait;; G4;S33;2nd;Medium;PROD374;se;Sweden;Roland
1-613033122;2011-12-05 20:38;Accepted;In Progress;; G4;S33;2nd;Medium;PROD374;se;Sweden;Roland
1-613033122;2012-02-08 21:42;Completed;Closed;; G4;S33;2nd;Medium;PROD374;se;Sweden;Roland
1-613364032;2012-02-21 11:11;Queued;Awaiting Assignment;E_7; C;G162;2nd;Medium;PROD671;in;INDIA;-
1-616288482;2011-11-24 14:07;Accepted;In Progress;E_4; C;G88;2nd;Medium;PROD348;us;USA;Robert
1-616288482;2011-11-24 14:08;Accepted;In Progress;E_4; C;G88;2nd;Medium;PROD348;us;USA;Robert
1-616288482;2011-11-24 14:16;Accepted;Wait;E_4; C;G88;2nd;Medium;PROD348;us;USA;Robert
1-616288482;2011-11-24 14:20;Accepted;Assigned;E_4; C;G88;2nd;Medium;PROD348;us;USA;Robert
1-616409083;2011-11-24 17:30;Accepted;In Progress;E_8; C;G186;2nd;Medium;PROD473;in;Sweden;Jonas
1-616409083;2012-02-15 12:26;Completed;Closed;E_8; C;G186;2nd;Medium;PROD473;in;Sweden;Jonas
1-616409083;2012-02-15 15:54;Accepted;In Progress;E_8; C;G186;2nd;Medium;PROD473;in;Sweden;Jonas
1-616409083;2012-02-15 16:12;Completed;Closed;E_8; C;G186;2nd;Medium;PROD473;in;Sweden;Jonas
1-616977258;2011-11-25 12:33;Accepted;In Progress;A2_2; A2;G167;2nd;Low;PROD681;se;Sweden;Niklas
1-616977258;2012-01-05 11:31;Accepted;Assigned;A2_2; A2;G167;2nd;Low;PROD681;se;Sweden;Niklas
1-616977258;2012-04-23 10:06;Accepted;In Progress;A2_2; A2;G167;2nd;Low;PROD681;se;Sweden;Niklas
1-616977258;2012-04-23 10:07;Completed;Closed;A2_2; A2;G167;2nd;Low;PROD681;se;Sweden;Niklas
1-616993936;2011-11-25 11:23;Accepted;In Progress;E_10; C;G138;2nd;Medium;PROD659;se;Sweden;Ann-Charlotte
1-616993936;2011-11-25 11:28;Queued;Awaiting Assignment;E_10; C;G138;2nd;Medium;PROD659;se;Sweden;Ann-Charlotte
1-616993936;2011-11-25 11:32;Queued;Awaiting Assignment;E_10; C;G138;2nd;Medium;PROD659;se;Sweden;Ann-Charlotte
1-617049384;2011-11-25 15:08;Accepted;In Progress;C_6; C;G268;3rd;High;PROD805;se;Sweden;Vesa
1-617049384;2012-01-23 10:11;Completed;Closed;C_6; C;G268;3rd;High;PROD805;se;Sweden;Vesa
1-617084616;2011-11-25 16:02;Accepted;In Progress;; G4;S33;2nd;Medium;PROD374;se;Sweden;Roland
1-617084616;2011-12-05 08:23;Accepted;Wait;; G4;S33;2nd;Medium;PROD374;se;Sweden;Roland
1-617084616;2012-02-08 21:55;Completed;Closed;; G4;S33;2nd;Medium;PROD374;se;Sweden;Roland
1-617356985;2011-11-28 09:22;Accepted;In Progress;E_4; C;G88;2nd;Medium;PROD793;us;USA;Robert
1-617356985;2011-11-29 09:48;Completed;Closed;E_4; C;G88;2nd;Medium;PROD793;us;USA;Robert
1-617356985;2012-02-08 02:42;Accepted;In Progress;E_4; C;G88;2nd;Medium;PROD793;us;USA;Robert
1-617356985;2012-02-08 03:04;Accepted;Wait;E_4; C;G88;2nd;Medium;PROD793;us;USA;Robert
1-617356985;2012-03-07 12:54;Queued;Awaiting Assignment;E_4; C;G88;2nd;Medium;PROD793;us;USA;Robert
1-617696569;2011-11-29 04:12;Accepted;In Progress;E_4; C;G93;2nd;Medium;PROD325;in;INDIA;Freddy
1-617696569;2011-12-19 04:43;Completed;Closed;E_4; C;G93;2nd;Medium;PROD325;in;INDIA;Freddy
1-617696569;2012-01-18 12:05;Accepted;In Progress;E_4; C;G93;2nd;Medium;PROD325;in;INDIA;Freddy
1-617696569;2012-01-18 12:07;Completed;Closed;E_4; C;G93;2nd;Medium;PROD325;in;INDIA;Freddy
1-617696569;2012-02-14 09:15;Accepted;In Progress;E_4; C;G93;2nd;Medium;PROD325;in;INDIA;Freddy
1-617696569;2012-02-14 09:15;Completed;Closed;E_4; C;G93;2nd;Medium;PROD325;in;INDIA;Freddy
1-618041243;2011-11-30 04:43;Accepted;In Progress;A2_1; A2;T17;2nd;High;PROD350;se;Sweden;Britt
1-618041243;2011-11-30 08:37;Queued;Awaiting Assignment;A2_1; A2;T17;2nd;High;PROD350;se;Sweden;Britt
1-618041243;2011-12-12 12:48;Accepted;In Progress;A2_1; A2;J2;2nd;High;PROD350;se;Sweden;Britt
1-618041243;2011-12-12 14:52;Accepted;Wait;A2_1; A2;J2;2nd;High;PROD350;se;Sweden;Britt
1-618041243;2012-01-19 16:18;Completed;Closed;A2_1; A2;J2;2nd;High;PROD350;se;Sweden;Britt
1-618116069;2011-11-30 07:54;Accepted;In Progress;A2_1; A2;T17;2nd;Medium;PROD350;se;Sweden;Britt
1-618116069;2011-11-30 08:14;Queued;Awaiting Assignment;A2_1; A2;T17;2nd;Medium;PROD350;se;Sweden;Britt
1-618116069;2011-12-12 14:51;Accepted;In Progress;A2_1; A2;J2;2nd;Medium;PROD350;se;Sweden;Britt
1-618116069;2011-12-12 14:52;Accepted;Wait;A2_1; A2;J2;2nd;Medium;PROD350;se;Sweden;Britt
1-618116069;2012-01-19 16:30;Completed;Closed;A2_1; A2;J2;2nd;Medium;PROD350;se;Sweden;Britt
1-618589528;2011-12-01 15:52;Accepted;In Progress;A2_1; A2;G42;3rd;High;PROD236;gb;United Kingdom;Ian
1-618589528;2011-12-01 15:54;Accepted;Assigned;A2_1; A2;G42;3rd;High;PROD236;gb;United Kingdom;Ian
1-618589528;2011-12-06 16:05;Accepted;In Progress;A2_1; A2;G42;3rd;High;PROD236;gb;United Kingdom;Ian
1-619067777;2011-12-02 10:46;Accepted;In Progress;A2_1; A2;T17;2nd;Low;PROD350;cn;Sweden;Britt
1-619067777;2011-12-02 10:47;Queued;Awaiting Assignment;A2_1; A2;T17;2nd;Low;PROD350;cn;Sweden;Britt
1-619067777;2011-12-12 14:52;Accepted;In Progress;A2_1; A2;J2;2nd;Low;PROD350;cn;Sweden;Britt
1-619067777;2011-12-12 14:52;Accepted;Wait;A2_1; A2;J2;2nd;Low;PROD350;cn;Sweden;Britt
1-619109941;2011-12-06 11:35;Queued;Awaiting Assignment;E_4; C;G88;2nd;High;PROD436;se;USA;Robert
1-619109941;2011-12-06 12:50;Accepted;In Progress;E_10; C;G271;2nd;High;PROD436;se;Sweden;Praveen
1-619109941;2011-12-06 12:56;Queued;Awaiting Assignment;C_6; C;G273;3rd;High;PROD436;se;Sweden;Martin
1-619109941;2012-01-30 14:13;Queued;Awaiting Assignment;C_6; C;G273;3rd;High;PROD436;se;Sweden;Martin
1-619109941;2012-01-30 14:13;Queued;Awaiting Assignment;C_6; C;G273;3rd;High;PROD436;se;Sweden;Martin
1-619109941;2012-01-30 14:17;Queued;Awaiting Assignment;C_6; C;G273;3rd;High;PROD436;se;Sweden;Martin
1-619109941;2012-01-30 14:31;Accepted;In Progress;C_6; C;G273;3rd;High;PROD436;se;Sweden;Pascal
1-619146141;2011-12-02 13:57;Queued;Awaiting Assignment;C_6; C;G225;3rd;Medium;PROD13;fr;France;Olivier
1-619254483;2011-12-02 15:37;Accepted;In Progress;A2_4; A2;G118;2nd;High;PROD591;se;Sweden;Maria
1-619254483;2012-01-10 10:11;Completed;Closed;A2_4; A2;G118;2nd;High;PROD591;se;Sweden;Maria
1-619699161;2011-12-05 13:01;Accepted;In Progress;A2_3; A2;S21;2nd;High;PROD231;se;Sweden;Viktoria
1-619699161;2011-12-05 13:13;Queued;Awaiting Assignment;A2_3; A2;S21;2nd;High;PROD231;se;Sweden;Viktoria
1-619699161;2011-12-06 08:28;Accepted;In Progress;A2_3; A2;S21;2nd;High;PROD231;se;Sweden;Kristina
1-619699161;2011-12-06 09:41;Completed;Closed;A2_3; A2;S21;2nd;High;PROD231;se;Sweden;Kristina
1-619699161;2012-01-30 13:40;Accepted;Assigned;; G4;S30;2nd;High;PROD231;se;Sweden;David
1-619699161;2012-02-01 20:50;Accepted;In Progress;; G4;S30;2nd;High;PROD231;se;Sweden;David
1-619699161;2012-02-01 20:51;Completed;Closed;; G4;S30;2nd;High;PROD231;se;Sweden;David
1-620015297;2011-12-06 07:51;Accepted;In Progress;; G4;S33;2nd;Medium;PROD374;se;Sweden;Rickard
1-620015297;2012-02-08 14:12;Completed;Closed;; G4;S33;2nd;Medium;PROD374;se;Sweden;Rickard
1-620432583;2011-12-07 05:38;Accepted;In Progress;A2_1; A2;T17;2nd;High;PROD350;se;Sweden;Britt
1-620432583;2011-12-07 05:39;Queued;Awaiting Assignment;A2_1; A2;T17;2nd;High;PROD350;se;Sweden;Britt
1-620432583;2011-12-12 14:51;Accepted;In Progress;A2_1; A2;J2;2nd;High;PROD350;se;Sweden;Britt
1-620432583;2011-12-12 14:51;Accepted;Wait;A2_1; A2;J2;2nd;High;PROD350;se;Sweden;Britt
1-620432583;2012-01-19 15:53;Accepted;In Progress;A2_1; A2;J2;2nd;High;PROD350;se;Sweden;Britt
1-620432583;2012-01-19 16:05;Completed;Closed;A2_1; A2;J2;2nd;High;PROD350;se;Sweden;Britt
1-620483711;2011-12-07 09:12;Accepted;In Progress;E_10; C;G271;2nd;Medium;PROD802;se;Sweden;Praveen
1-620483711;2011-12-07 09:27;Queued;Awaiting Assignment;E_10; C;G271;2nd;Medium;PROD802;se;Sweden;Praveen
1-620483711;2011-12-08 08:57;Queued;Awaiting Assignment;C_6; C;G273;3rd;Medium;PROD802;se;Sweden;Martin
1-620483711;2011-12-14 12:58;Accepted;In Progress;C_6; C;G273;3rd;Medium;PROD802;se;Sweden;Martin
1-620925267;2011-12-08 11:10;Accepted;In Progress;A2_1; A2;G42;3rd;High;PROD236;gb;United Kingdom;Ian
1-620925267;2011-12-08 11:19;Accepted;Assigned;A2_1; A2;G42;3rd;High;PROD236;gb;United Kingdom;Ian
1-620925267;2011-12-13 12:56;Accepted;In Progress;A2_1; A2;G42;3rd;High;PROD236;gb;United Kingdom;Ian
1-621039603;2011-12-08 12:59;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-621039603;2012-01-04 16:43;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-621311061;2011-12-09 08:18;Accepted;In Progress;D_2; D;G121;2nd;Medium;PROD597;in;Sweden;Bikshamaiah
1-621311061;2011-12-09 08:22;Completed;Closed;D_2; D;G121;2nd;Medium;PROD597;in;Sweden;Bikshamaiah
1-621311061;2011-12-12 11:34;Accepted;In Progress;D_2; D;G121;2nd;Medium;PROD597;in;Sweden;Bikshamaiah
1-621311061;2011-12-12 11:38;Accepted;In Progress;D_2; D;G121;2nd;Medium;PROD597;in;Sweden;Bikshamaiah
1-621311061;2011-12-21 12:01;Completed;Closed;D_2; D;G121;2nd;Medium;PROD597;in;Sweden;Bikshamaiah
1-621311061;2012-01-06 11:08;Accepted;In Progress;E_8; C;G119;2nd;Medium;PROD597;in;Sweden;Bikshamaiah
1-621311061;2012-01-06 11:09;Completed;Closed;E_8; C;G119;2nd;Medium;PROD597;in;Sweden;Bikshamaiah
1-621311061;2012-01-06 13:35;Accepted;In Progress;E_8; C;G119;2nd;Medium;PROD597;in;Sweden;Bikshamaiah
1-621311061;2012-02-17 10:12;Completed;Closed;E_8; C;G119;2nd;Medium;PROD597;in;Sweden;Bikshamaiah
1-621322866;2011-12-09 08:13;Accepted;In Progress;C_6; C;G290;3rd;Medium;PROD154;se;Sweden;Mikael
1-621322866;2012-01-17 14:00;Completed;Closed;C_6; C;G290;3rd;Medium;PROD154;se;Sweden;Mikael
