ST Function Division;Org Line;Involved ST;Support Line Number;Product;Owner First Name
A2_4;A2;G7;3rd;PROD765;Marijn
A2_4;A2;G7;3rd;PROD766;Marijn
A2_4;A2;N26;2nd;PROD379;Marika
A2_4;A2;G105;2nd;PROD337;Marika
A2_4;A2;G108;2nd;PROD67;Marika
A2_4;A2;G108;2nd;PROD66;Marika
A2_4;A2;G11;2nd;PROD49;Marika
A2_4;A2;G108;2nd;PROD66;Marta
A2_4;A2;G11;2nd;PROD49;Marta
A2_4;A2;V35;3rd;PROD102;Martine
A2_4;A2;G305;2nd;PROD514;Mateusz
A2_4;A2;N26;2nd;PROD253;Mateusz
A2_4;A2;V30;1st;PROD508;Mateusz
A2_4;A2;G35;2nd;PROD211;Michael
A2_4;A2;G107;3rd;PROD537;Mikael
A2_4;A2;V30;1st;PROD157;Mikael
A2_4;A2;G105;2nd;PROD337;Mikael
A2_4;A2;M13;2nd;PROD563;Mikael
A2_4;A2;M13;2nd;PROD52;Mikael
A2_4;A2;G7;3rd;PROD631;Milosz
A2_4;A2;G113;2nd;PROD546;Mireille
A2_4;A2;L23;3rd;PROD546;Mireille
A2_4;A2;M13;2nd;PROD563;Moniece
A2_4;A2;G60;2nd;PROD211;Moniece
A2_4;A2;G7;3rd;PROD766;Moyses
A2_4;A2;G31;3rd;PROD194;Muralidaran
A2_4;A2;G343;2nd;PROD583;Muthu
A2_4;A2;G47;2nd;PROD243;Muthu
A2_4;A2;G105;2nd;PROD337;Muthu
A2_4;A2;G2;3rd;PROD793;Nagaraj
A2_4;A2;G2;3rd;PROD301;Nagaraj
A2_4;A2;V32;2nd;PROD353;Nak
A2_4;A2;V31;2nd;PROD344;Natalia
A2_4;A2;G98;2nd;PROD465;Natalia
A2_4;A2;V30;1st;PROD91;Neeraj
A2_4;A2;N11;2nd;PROD645;Neeraj
A2_4;A2;V22;2nd;PROD643;Nicolas
A2_4;A2;V22;2nd;PROD644;Nicolas
A2_4;A2;V22;2nd;PROD645;Nicolas
A2_4;A2;G107;3rd;PROD3;Nicolas
A2_4;A2;G11;2nd;PROD49;Nilton
A2_4;A2;G11;2nd;PROD49;Nina
A2_4;A2;G111;2nd;PROD802;Ninus
A2_4;A2;G173;2nd;PROD706;Olga
A2_4;A2;G105;2nd;PROD337;Oskar
A2_4;A2;G2;3rd;PROD793;P
A2_4;A2;G2;3rd;PROD66;P
A2_4;A2;G2;3rd;PROD301;P
A2_4;A2;G107;3rd;PROD537;Pallav
A2_4;A2;G105;2nd;PROD337;Pandiarajan
A2_4;A2;V30;1st;PROD91;Pankaj
A2_4;A2;W6;2nd;PROD805;Pankaj
A2_4;A2;V32;2nd;PROD353;Partner
A2_4;A2;G304;2nd;PROD570;Patricia
A2_4;A2;G328;2nd;PROD570;Patricia
A2_4;A2;G304;2nd;PROD715;Patricia
A2_4;A2;L63;3rd;PROD637;Patrick
A2_4;A2;G113;2nd;PROD211;Pavan Harohalli
A2_4;A2;G113;2nd;PROD546;Pavan Harohalli
A2_4;A2;G98;2nd;PROD465;Pawel
A2_4;A2;G105;2nd;PROD337;Per
A2_4;A2;G18;3rd;PROD67;Pernilla
A2_4;A2;L23;3rd;PROD67;Pernilla
A2_4;A2;G18;3rd;PROD3;Pernilla
A2_4;A2;G113;2nd;PROD521;Piotr
A2_4;A2;G60;2nd;PROD344;Piotr
A2_4;A2;L23;3rd;PROD215;Pramod
A2_4;A2;G113;2nd;PROD552;Pramod
A2_4;A2;M13;2nd;PROD563;Pranav
A2_4;A2;G105;2nd;PROD337;Praveen
A2_4;A2;G11;2nd;PROD13;Prithi
A2_4;A2;G108;2nd;PROD66;Przemyslaw
A2_4;A2;G113;2nd;PROD552;Przemyslaw
A2_4;A2;G113;2nd;PROD589;Przemyslaw
A2_4;A2;G113;2nd;PROD546;Quang-Nhiem
A2_4;A2;L23;3rd;PROD546;Quang-Nhiem
A2_4;A2;G113;2nd;PROD521;Quang-Nhiem
A2_4;A2;L23;3rd;PROD521;Quang-Nhiem
A2_4;A2;V22;2nd;PROD643;Radoslaw
A2_4;A2;V22;2nd;PROD645;Radoslaw
A2_4;A2;N8;2nd;PROD388;Rafal
A2_4;A2;W6;2nd;PROD62;Rafal
A2_4;A2;G305;2nd;PROD514;Rafal
A2_4;A2;L23;3rd;PROD546;Rafal
A2_4;A2;G98;2nd;PROD465;Rafal
A2_4;A2;G47;2nd;PROD243;Rafal
A2_4;A2;V36;3rd;PROD424;Rafal
A2_4;A2;G108;2nd;PROD301;Rafal
A2_4;A2;G47;2nd;PROD243;Rajendran
A2_4;A2;G32;2nd;PROD199;Rajendran
A2_4;A2;G114;2nd;PROD243;Rajendran
A2_4;A2;G107;3rd;PROD802;Rajesh
A2_4;A2;G105;2nd;PROD337;Ram
A2_4;A2;G47;2nd;PROD243;Ranjan
A2_4;A2;G105;2nd;PROD795;Reine
A2_4;A2;G105;2nd;PROD816;Reine
A2_4;A2;G105;2nd;PROD337;Renato
A2_4;A2;G343;2nd;PROD464;Renato
A2_4;A2;G127;3rd;PROD805;Ribhu
A2_4;A2;G105;2nd;PROD337;Rick
A2_4;A2;G11;2nd;PROD49;Riitta
A2_4;A2;G2;3rd;PROD793;Robert
A2_4;A2;G11;2nd;PROD49;Robert
A2_4;A2;G2;3rd;PROD301;Robert
A2_4;A2;V35;3rd;PROD419;Rocco
A2_4;A2;L23;3rd;PROD67;Roopa
A2_4;A2;G47;2nd;PROD243;Rudraya
A2_4;A2;L23;3rd;PROD67;Rune
A2_4;A2;G60;2nd;PROD344;Ryan
A2_4;A2;G31;3rd;PROD194;Saikat
A2_4;A2;G113;2nd;PROD546;Saki
A2_4;A2;L23;3rd;PROD546;Saki
A2_4;A2;G113;2nd;PROD521;Saki
A2_4;A2;G113;2nd;PROD211;Saki
A2_4;A2;G36;3rd;PROD211;Saki
A2_4;A2;L23;3rd;PROD521;Saki
A2_4;A2;L23;3rd;PROD589;Saki
A2_4;A2;G108;2nd;PROD65;Sandeep
A2_4;A2;G107;3rd;PROD802;Sandeep
A2_4;A2;G108;2nd;PROD67;Sandeep
A2_4;A2;G18;3rd;PROD67;Sandeep
A2_4;A2;G108;2nd;PROD66;Sandeep
A2_4;A2;N26;2nd;PROD253;Sandra
A2_4;A2;G11;2nd;PROD49;Sandra
A2_4;A2;V23;2nd;PROD397;Sandrine
A2_4;A2;G108;2nd;PROD537;Santhi
A2_4;A2;G107;3rd;PROD537;Santhi
A2_4;A2;G108;2nd;PROD3;Santhi
A2_4;A2;G108;2nd;PROD66;Santhi
A2_4;A2;G108;2nd;PROD194;Santhi
A2_4;A2;G31;3rd;PROD194;Santhi
A2_4;A2;G2;3rd;PROD66;Santhi
A2_4;A2;G108;2nd;PROD301;Santhi
A2_4;A2;N17;2nd;PROD786;Sarguna
A2_4;A2;G11;2nd;PROD646;Seger
A2_4;A2;M24;2nd;PROD642;Seija
A2_4;A2;G107;3rd;PROD802;Seyedehsanaz
A2_4;A2;G107;3rd;PROD537;Seyedehsanaz
A2_4;A2;G98;2nd;PROD465;Shivakumar
A2_4;A2;G98;2nd;PROD465;Shubha
A2_4;A2;G98;2nd;PROD321;Shubha
A2_4;A2;G47;2nd;PROD243;Shyamly
A2_4;A2;V30;1st;PROD507;Siebel
A2_4;A2;M24;2nd;PROD645;Siebel
A2_4;A2;G105;2nd;PROD337;Siebel
A2_4;A2;N8;2nd;PROD388;Siebel
A2_4;A2;G18;3rd;PROD67;Siebel
A2_4;A2;G7;3rd;PROD765;Siebel
A2_4;A2;V30;1st;PROD582;Siebel
A2_4;A2;G108;2nd;PROD66;Siebel
A2_4;A2;G107;3rd;PROD537;Siebel
A2_4;A2;G327;2nd;PROD107;Siebel
A2_4;A2;G109;2nd;PROD534;Siebel
A2_4;A2;G47;2nd;PROD243;Siebel
A2_4;A2;G11;2nd;PROD49;Siebel
A2_4;A2;V22;2nd;PROD643;Siebel
A2_4;A2;G118;2nd;PROD591;Siebel
A2_4;A2;G328;2nd;PROD570;Siebel
A2_4;A2;L23;3rd;PROD546;Siebel
A2_4;A2;G113;2nd;PROD546;Siebel
A2_4;A2;G343;2nd;PROD583;Siebel
A2_4;A2;G343;2nd;PROD464;Siebel
A2_4;A2;G7;3rd;PROD766;Siebel
A2_4;A2;V30;1st;PROD157;Siebel
A2_4;A2;G113;2nd;PROD552;Siebel
A2_4;A2;G32;2nd;PROD199;Siebel
A2_4;A2;N26;2nd;PROD379;Siebel
A2_4;A2;M24;2nd;PROD642;Siebel
A2_4;A2;G32;2nd;PROD243;Siebel
A2_4;A2;G104;2nd;PROD515;Siebel
A2_4;A2;G113;2nd;PROD521;Siebel
A2_4;A2;N17;2nd;PROD786;Siebel
A2_4;A2;G305;2nd;PROD514;Siebel
A2_4;A2;G11;2nd;PROD646;Siebel
A2_4;A2;G31;3rd;PROD194;Siebel
A2_4;A2;W6;2nd;PROD62;Siebel
A2_4;A2;V36;3rd;PROD222;Siebel
A2_4;A2;G306;2nd;PROD635;Siebel
A2_4;A2;G61;3rd;PROD344;Siebel
A2_4;A2;V36;3rd;PROD578;Siebel
A2_4;A2;G343;2nd;PROD580;Siebel
A2_4;A2;G129;3rd;PROD247;Siebel
A2_4;A2;G2;3rd;PROD66;Siebel
A2_4;A2;V30;1st;PROD91;Siebel
A2_4;A2;G36;3rd;PROD211;Siebel
A2_4;A2;G2;3rd;PROD194;Siebel
A2_4;A2;L23;3rd;PROD521;Siebel
A2_4;A2;V30;1st;PROD508;Siebel
A2_4;A2;G108;2nd;PROD194;Siebel
A2_4;A2;G113;2nd;PROD589;Siebel
A2_4;A2;L23;3rd;PROD589;Siebel
A2_4;A2;V31;2nd;PROD344;Siebel
A2_4;A2;G173;2nd;PROD706;Siebel
A2_4;A2;G328;2nd;PROD41;Siebel
A2_4;A2;G304;2nd;PROD20;Siebel
A2_4;A2;M13;2nd;PROD563;Siebel
A2_4;A2;G98;2nd;PROD465;Siebel
A2_4;G3;N52;2nd;PROD174;Siebel
A2_4;A2;N11;2nd;PROD645;Siebel
A2_4;A2;G325;2nd;PROD430;Siebel
A2_4;A2;M13;2nd;PROD52;Siebel
A2_4;A2;V32;2nd;PROD352;Siebel
A2_4;A2;G325;2nd;PROD431;Siebel
A2_4;A2;V35;3rd;PROD102;Siebel
A2_4;A2;G7;3rd;PROD559;Siebel
A2_4;A2;G304;2nd;PROD103;Siebel
A2_4;A2;G304;2nd;PROD504;Siebel
A2_4;A2;G35;2nd;PROD211;Siebel
A2_4;A2;G304;2nd;PROD392;Siebel
A2_4;A2;G60;2nd;PROD344;Siebel
A2_4;A2;V36;3rd;PROD424;Siebel
A2_4;A2;V35;3rd;PROD419;Siebel
A2_4;A2;G7;3rd;PROD569;Siebel
A2_4;A2;G11;2nd;PROD200;Siebel
A2_4;A2;G108;2nd;PROD344;Siebel
A2_4;A2;G2;3rd;PROD301;Siebel
A2_4;A2;V32;2nd;PROD351;Siebel
A2_4;A2;W6;2nd;PROD153;Siebel
A2_4;A2;G343;2nd;PROD583;Sijoy
A2_4;A2;G343;2nd;PROD464;Sijoy
A2_4;A2;G31;3rd;PROD194;Soma
A2_4;A2;G108;2nd;PROD194;Soma
A2_4;A2;G7;3rd;PROD182;Somashekharayya
A2_4;A2;G32;2nd;PROD199;Sophia
A2_4;A2;G47;2nd;PROD243;Sophia
A2_4;A2;G113;2nd;PROD552;Sophia
A2_4;A2;M13;2nd;PROD563;Sreejith
A2_4;A2;G129;3rd;PROD247;Sri Vidya
A2_4;A2;N17;2nd;PROD786;Srikanth
A2_4;A2;V36;3rd;PROD222;Stephane
A2_4;A2;V32;2nd;PROD352;Stephane
A2_4;A2;L23;3rd;PROD546;Stephen
A2_4;A2;N11;2nd;PROD253;Stephen
A2_4;A2;G11;2nd;PROD49;Subir
A2_4;A2;L23;3rd;PROD546;Sudhakar Moses
A2_4;A2;G113;2nd;PROD546;Sudhakar Moses
A2_4;A2;M13;2nd;PROD563;Sue
A2_4;A2;G118;2nd;PROD591;Suganthi
A2_4;A2;G61;3rd;PROD344;Susanne
A2_4;A2;G108;2nd;PROD66;Tadeusz
A2_4;A2;M13;2nd;PROD563;Tadeusz
A2_4;A2;G304;2nd;PROD715;Tanvi
A2_4;A2;G328;2nd;PROD41;Tanvi
A2_4;A2;G306;2nd;PROD635;Thomas
A2_4;A2;G114;2nd;PROD243;Tina
A2_4;A2;G47;2nd;PROD243;Tina
A2_4;A2;G105;2nd;PROD337;Tomasz
A2_4;A2;G60;2nd;PROD344;Tomasz
A2_4;A2;G2;3rd;PROD194;Tommy
A2_4;A2;G2;3rd;PROD476;Tommy
A2_4;A2;G60;2nd;PROD344;Torkel
A2_4;A2;N8;2nd;PROD388;Urszula
A2_4;A2;G32;2nd;PROD243;Urszula
A2_4;A2;G47;2nd;PROD243;Urszula
A2_4;A2;G305;2nd;PROD514;Urszula
A2_4;A2;G105;2nd;PROD337;Valdecir
A2_4;A2;G113;2nd;PROD552;Varghese
A2_4;A2;G306;2nd;PROD635;Veerle
A2_4;A2;G105;2nd;PROD337;Venkata
A2_4;A2;G105;2nd;PROD337;Vikrant
A2_4;A2;G61;3rd;PROD344;Vincent
A2_4;A2;G173;2nd;PROD706;Walientina
A2_4;A2;G11;2nd;PROD49;Wanda
A2_4;A2;G113;2nd;PROD589;Xavier
A2_4;A2;L23;3rd;PROD589;Xavier
A2_5;A2;G12;2nd;PROD50;Abby
A2_5;A2;L62;3rd;PROD507;Adeline
A2_5;A2;V13;2nd 3rd;PROD582;Adeline
A2_5;A2;V4;3rd;PROD157;Adeline
A2_5;A2;V53;2nd;PROD243;Alexandra
A2_5;A2;N18;2nd;PROD542;Amanda
A2_5;A2;N18;2nd;PROD791;Amanda
A2_5;A2;B16;2nd;PROD791;Amanda
A2_5;A2;N18;2nd;PROD789;Amanda
A2_5;A2;B16;2nd;PROD789;Amanda
A2_5;A2;G12;2nd;PROD50;Amy
A2_5;A2;N18;2nd;PROD789;Andre
A2_5;A2;A10;1st;PROD775;Anil
A2_5;A2;N18;2nd;PROD789;Anil
A2_5;A2;G350;2nd;PROD92;Anil
A2_5;A2;A8;2nd;PROD327;Anil
A2_5;A2;A10;1st;PROD235;Anil
A2_5;A2;W15;3rd;PROD353;Anne
A2_5;A2;W15;3rd;PROD352;Anne
A2_5;A2;W14;3rd;PROD352;Anne
A2_5;A2;V5;3rd;PROD582;Anne Claire
A2_5;A2;V13;2nd 3rd;PROD582;Anne Claire
A2_5;A2;N18;2nd;PROD38;Anson
A2_5;A2;G350;2nd;PROD38;Anson
A2_5;A2;N18;2nd;PROD789;Anson
A2_5;A2;W14;3rd;PROD352;Anupam
A2_5;A2;W15;3rd;PROD352;Anupam
A2_5;A2;W15;3rd;PROD353;Aurore
A2_5;A2;V55;3rd;PROD508;Azedine
A2_5;A2;A8;2nd;PROD328;Bart
A2_5;A2;A8;2nd;PROD730;Bart
A2_5;A2;N2;2nd;PROD736;Brecht
A2_5;A2;N24;2nd;PROD790;Brecht
A2_5;A2;N18;2nd;PROD38;Carmelo
A2_5;A2;B16;2nd;PROD38;Carmelo
A2_5;A2;N18;2nd;PROD789;Carmelo
A2_5;A2;B16;2nd;PROD789;Carmelo
A2_5;A2;V54;3rd;PROD89;Carole
A2_5;A2;G350;2nd;PROD92;Daniel
A2_5;A2;G350;2nd;PROD38;Daniel
A2_5;A2;N18;2nd;PROD38;Daniel
A2_5;A2;A8;2nd;PROD327;Deepak
A2_5;A2;N30;2nd;PROD487;Dianne
A2_5;A2;N2;2nd;PROD736;Eduardo
A2_5;A2;V5;3rd;PROD582;Eric
A2_5;A2;N2;2nd;PROD736;Evy
A2_5;A2;L61;3rd;PROD507;Fabrice
A2_5;A2;N18;2nd;PROD38;Freddy Martin
A2_5;A2;V5;3rd;PROD582;Frederic
A2_5;A2;L61;3rd;PROD507;Frederic
A2_5;A2;L62;3rd;PROD507;Frederic
A2_5;A2;V13;2nd 3rd;PROD582;Frederic
A2_5;A2;V55;3rd;PROD508;Frederic
A2_5;A2;N18;2nd;PROD38;Fredrik
A2_5;A2;N18;2nd;PROD789;Fredrik
A2_5;A2;N4;2nd;PROD245;Gerald
A2_5;A2;A10;1st;PROD775;Gitt
A2_5;A2;N25;2nd;PROD697;Grzegorz
A2_5;A2;N2;2nd;PROD736;Isaide
A2_5;A2;A8;2nd;PROD730;Isaide
A2_5;A2;A8;2nd;PROD235;Isaide
A2_5;A2;N18;2nd;PROD789;Isaide
A2_5;A2;N30;2nd;- -;Jay
A2_5;A2;W15;3rd;PROD352;Jean-Yves
A2_5;A2;N30;2nd;PROD486;Joanne
A2_5;A2;G12;2nd;PROD50;Jonathan
A2_5;A2;B16;2nd;PROD789;Joshi N
A2_5;A2;N18;2nd;PROD789;Joshi N
A2_5;A2;L62;3rd;PROD507;Julien
A2_5;A2;V55;3rd;PROD507;Julien
A2_5;A2;V55;3rd;PROD658;Julien
A2_5;A2;V55;3rd;PROD508;Julien
A2_5;A2;V55;3rd;PROD543;Julien
A2_5;A2;N18;2nd;PROD542;Kannan
A2_5;A2;N18;2nd;PROD789;Kannan
A2_5;A2;G364;2nd;PROD34;Kari
A2_5;A2;N2;2nd;PROD736;Kenneth
A2_5;A2;N30;2nd;PROD486;Krzysztof
A2_5;A2;G12;2nd;PROD50;Kyle
A2_5;A2;A10;1st;PROD236;Lisbeth
A2_5;A2;A10;1st;PROD235;Lisbeth
A2_5;A2;A10;1st;PROD775;Lisbeth
A2_5;A2;V5;3rd;PROD582;Loic
A2_5;A2;V13;2nd 3rd;PROD582;Loic
A2_5;A2;V55;3rd;PROD508;Lory
A2_5;A2;N18;2nd;PROD789;Luan
A2_5;A2;G364;2nd;PROD34;Luis
A2_5;A2;A10;1st;PROD775;Lukasz
A2_5;A2;N18;2nd;PROD789;Lukasz
A2_5;A2;A8;2nd;PROD328;Magali
A2_5;A2;B16;2nd;PROD789;Manasa
A2_5;A2;N18;2nd;PROD789;Manasa
A2_5;A2;N30;2nd;PROD486;Marika
A2_5;A2;G364;2nd;PROD691;Marika
A2_5;A2;G364;2nd;PROD34;Mattias
A2_5;A2;G364;2nd;PROD691;Mattias
A2_5;A2;G12;2nd;PROD50;Melekia
A2_5;A2;N4;2nd;PROD245;Melekia
A2_5;A2;A10;1st;PROD235;Michael
A2_5;A2;N30;2nd;PROD486;Michele
A2_5;A2;N30;2nd;PROD487;Michele
A2_5;A2;A10;1st;PROD236;Mikael
A2_5;A2;V4;3rd;PROD157;Mikael
A2_5;A2;A10;1st;PROD775;Mikael
A2_5;A2;A10;1st;PROD171;Mikael
A2_5;A2;A10;1st;PROD235;Mikael
A2_5;A2;N18;2nd;PROD791;Miroslawa
A2_5;A2;N18;2nd;PROD789;Miroslawa
A2_5;A2;N30;2nd;PROD486;Moniece
A2_5;A2;B16;2nd;PROD791;Nagashree
A2_5;A2;N18;2nd;PROD791;Nagashree
A2_5;A2;B16;2nd;PROD789;Nagashree
A2_5;A2;N18;2nd;PROD789;Nagashree
A2_5;A2;W15;3rd;PROD353;Nak
A2_5;A2;N18;2nd;PROD789;Nayana
A2_5;A2;G350;2nd;PROD92;Nayana
A2_5;A2;N18;2nd;PROD789;Pandiarajan
A2_5;A2;B16;2nd;PROD789;Pandiarajan
A2_5;A2;A10;1st;PROD236;Pär
A2_5;A2;A10;1st;PROD775;Pär
A2_5;A2;A10;1st;PROD328;Pär
A2_5;A2;A10;1st;PROD235;Pär
A2_5;A2;N2;2nd;PROD736;Paul
A2_5;A2;A10;1st;PROD236;Paulo
A2_5;A2;A10;1st;PROD171;Paulo
A2_5;A2;A10;1st;PROD235;Paulo
A2_5;A2;A10;1st;PROD328;Paulo
A2_5;A2;A10;1st;PROD775;Paulo
A2_5;A2;N18;2nd;PROD38;Peter
A2_5;A2;N18;2nd;PROD789;Peter
A2_5;A2;B16;2nd;PROD789;Peter
A2_5;A2;A10;1st;PROD236;Piotr
A2_5;A2;A10;1st;PROD236;Przemyslaw
A2_5;A2;A10;1st;PROD235;Przemyslaw
A2_5;A2;A10;1st;PROD775;Przemyslaw
A2_5;A2;G212;3rd;PROD790;Ravikumar
A2_5;A2;N24;2nd;PROD790;Ravikumar
A2_5;A2;N2;2nd;PROD736;Renaat
A2_5;A2;N30;2nd;PROD486;Renato
A2_5;A2;G350;2nd;PROD92;Rodrigo
A2_5;A2;N25;2nd;PROD318;Rodrigo
A2_5;A2;N25;2nd;PROD697;Rodrigo
A2_5;A2;N18;2nd;PROD789;Rodrigo
A2_5;A2;N25;2nd;PROD318;Ronak
A2_5;A2;N25;2nd;PROD697;Ronak
A2_5;A2;V13;2nd 3rd;PROD582;Sabine
A2_5;A2;V5;3rd;PROD582;Sarah
A2_5;A2;V4;3rd;PROD157;Sarah
A2_5;A2;A8;2nd;PROD327;Sascha
A2_5;A2;N30;2nd;PROD486;Shane
A2_5;A2;V5;3rd;PROD582;Siebel
A2_5;A2;G364;2nd;PROD34;Siebel
A2_5;A2;G12;2nd;PROD50;Siebel
A2_5;A2;N30;2nd;PROD486;Siebel
A2_5;A2;V13;2nd 3rd;PROD582;Siebel
A2_5;A2;G364;2nd;PROD691;Siebel
A2_5;A2;N30;2nd;PROD487;Siebel
A2_5;A2;W15;3rd;PROD353;Siebel
A2_5;A2;N30;2nd;PROD245;Siebel
A2_5;A2;A10;1st;PROD235;Siebel
A2_5;A2;A10;1st;PROD236;Siebel
A2_5;A2;N30;2nd;- -;Siebel
A2_5;A2;A8;2nd;PROD327;Siebel
A2_5;A2;W15;3rd;PROD352;Siebel
A2_5;A2;W14;3rd;PROD352;Siebel
A2_5;A2;V54;3rd;PROD89;Siebel
A2_5;A2;A10;1st;PROD236;Slawomir
A2_5;A2;N2;2nd;PROD736;Sören
A2_5;A2;B15;3rd;PROD736;Sören
A2_5;A2;N24;2nd;PROD790;Sören
A2_5;A2;G212;3rd;PROD790;Sören
A2_5;A2;W14;3rd;PROD352;Stephane
A2_5;A2;N30;2nd;PROD487;Stephen
A2_5;A2;N30;2nd;PROD482;Sue
A2_5;A2;N30;2nd;PROD486;Swamy
A2_5;A2;B16;2nd;PROD38;Swapna
A2_5;A2;N18;2nd;PROD38;Swapna
A2_5;A2;N18;2nd;PROD789;Swapna
A2_5;A2;N30;2nd;PROD245;Thomas
A2_5;A2;B15;3rd;PROD736;Thyagaraju
A2_5;A2;N2;2nd;PROD736;Thyagaraju
A2_5;A2;N30;2nd;PROD486;Valdecir
A2_5;A2;G350;2nd;PROD92;Yue
A2_5;A2;N2;2nd;PROD736;Zoi
C_1;C;G194;3rd;PROD38;Akanksha
C_1;C;G19;3rd;PROD493;Eva
C_1;C;G194;3rd;PROD631;Gunnar
C_1;C;G194;3rd;PROD38;Gunnar
C_1;C;G194;3rd;PROD742;Gunnar
C_1;C;G56;3rd;PROD821;Karin
C_1;C;G56;3rd;PROD154;Karin
C_1;C;G56;3rd;PROD328;Kåre_OLD
C_1;C;G194;3rd;PROD631;Manoj
C_1;C;G19;3rd;PROD493;Peter
C_1;C;G194;3rd;PROD631;Pradeep
C_1;C;L57;3rd;PROD816;Raphael
C_1;C;G56;3rd;PROD328;Robert
C_1;C;G19;3rd;PROD493;Siebel
C_1;C;L57;3rd;PROD816;Siebel
C_1;C;L57;3rd;PROD816;Sonu
C_1;C;G194;3rd;PROD38;Sruthi
C_1;C;G194;3rd;PROD742;Tobias
C_1;C;G194;3rd;PROD38;Tobias
C_3;C;G90;3rd;PROD436;Johan
C_5;C;L65;3rd;PROD474;Damien
C_5;C;G120;3rd;PROD597;Sihyun
C_5;C;G120;3rd;PROD618;Vinay
C_5;C;G120;3rd;PROD618;Wim
C_6;C;G278;3rd;PROD630;Anand
C_6;B;S13;3rd;PROD267;Anandgiri
C_6;C;G257;3rd;PROD662;Angela
C_6;C;G225;3rd;PROD805;Anoop
C_6;B;T2;3rd;PROD793;Anoop
C_6;C;G225;3rd;PROD307;Anoop
C_6;C;G239;3rd;PROD13;Anoop
C_6;C;G225;3rd;PROD13;Anoop
C_6;C;G273;3rd;PROD802;Balram
C_6;C;G273;3rd;PROD276;Bhavdeep
C_6;C;G273;3rd;PROD611;Bikshamaiah
C_6;C;G268;3rd;PROD805;Björn
C_6;C;G268;3rd;PROD802;Björn
C_6;C;G257;3rd;PROD662;Charlotte
C_6;C;G257;3rd;PROD401;Charlotte
C_6;C;G268;3rd;PROD802;Christer
C_6;C;G257;3rd;PROD425;Christoffer
C_6;C;G273;3rd;PROD611;Claes
C_6;C;G273;3rd;PROD276;Claes
C_6;C;G270;3rd;PROD802;Cyril
C_6;C;G273;3rd;PROD611;David
C_6;C;O3;3rd;PROD453;Denny
C_6;C;N55;3rd;PROD803;Frank
C_6;C;G261;3rd;PROD424;Ganesh
C_6;B;S13;3rd;PROD215;Ganesh
C_6;C;O3;3rd;PROD498;Gary
C_6;C;G278;3rd;PROD630;Henrik
C_6;C;G278;3rd;PROD631;Henrik
C_6;C;G268;3rd;PROD805;Hicham
C_6;C;G237;3rd;PROD375;Jan
C_6;B;S13;3rd;PROD215;Jisha
C_6;C;N55;3rd;PROD803;Joel
C_6;C;N55;3rd;PROD803;John
C_6;C;G144;3rd;PROD660;John
C_6;C;N55;3rd;PROD87;John
C_6;C;N55;3rd;PROD802;Kenneth
C_6;C;G268;3rd;PROD802;Kishore
C_6;C;G148;3rd;PROD348;Kristofer
C_6;C;G225;3rd;PROD802;Labib
C_6;C;G225;3rd;PROD13;Labib
C_6;C;G254;3rd;PROD219;Lars
C_6;C;G268;3rd;PROD805;Lars
C_6;C;G225;3rd;PROD13;Ludovic
C_6;B;A20;3rd;PROD802;Luke
C_6;B;A20;3rd;PROD209;Luke
C_6;C;G278;3rd;PROD276;Malik
C_6;C;O3;3rd;PROD498;Malin
C_6;C;G278;3rd;PROD698;Manoj
C_6;C;G273;3rd;PROD636;Martin
C_6;C;G278;3rd;PROD631;Martin
C_6;C;G278;3rd;PROD698;Martin
C_6;C;G273;3rd;PROD611;Martin
C_6;C;G273;3rd;PROD802;Martin
C_6;C;M7;2nd;PROD268;Martti
C_6;C;G278;3rd;PROD276;Mattias
C_6;C;G261;3rd;PROD424;Mica
C_6;C;G261;3rd;PROD793;Mica
C_6;B;T2;3rd;PROD793;Mica
C_6;C;G278;3rd;PROD631;Mukul
C_6;C;G278;3rd;PROD698;Mukul
C_6;C;G225;3rd;PROD805;Nicolas
C_6;C;G225;3rd;PROD13;Nicolas
C_6;C;M7;2nd;PROD268;Patrik
C_6;C;O3;3rd;PROD453;Paul
C_6;B;S17;3rd;PROD804;Rafael
C_6;C;G225;3rd;PROD13;Rajasekhar
C_6;C;G275;3rd;PROD803;Renato
C_6;C;G268;3rd;PROD805;Roger
C_6;C;G269;3rd;PROD621;S
C_6;C;N55;3rd;PROD771;Sanjay
C_6;C;G290;3rd;PROD658;Sebastien
C_6;B;T2;3rd;PROD793;Sharath
C_6;C;G269;3rd;PROD621;Shery
C_6;C;G261;3rd;PROD424;Siebel
C_6;C;N55;3rd;PROD802;Siebel
C_6;C;G225;3rd;PROD805;Siebel
C_6;C;G144;3rd;PROD660;Siebel
C_6;C;G257;3rd;PROD662;Siebel
C_6;C;G278;3rd;PROD630;Siebel
C_6;B;S17;3rd;PROD804;Siebel
C_6;C;G278;3rd;PROD631;Siebel
C_6;C;N55;3rd;PROD803;Siebel
C_6;C;G268;3rd;PROD805;Siebel
C_6;C;G290;3rd;PROD658;Siebel
C_6;C;G268;3rd;PROD802;Siebel
C_6;C;G278;3rd;PROD698;Siebel
C_6;B;A20;3rd;PROD802;Siebel
C_6;C;G257;3rd;PROD401;Siebel
C_6;B;S13;3rd;PROD267;Siebel
C_6;C;G270;3rd;PROD802;Siebel
C_6;C;N55;3rd;PROD87;Siebel
C_6;C;G225;3rd;PROD13;Siebel
