Problem Number;Problem Latest Impact;Change Date;Problem Status;Problem Sub Status;Org Line;ST Function Division;Owner ST;Support Line Number;Product;Country;Action Owner Country;Action Owner First Name
1-600663061;Medium;2011-11-02 13:11:07;Queued;Awaiting Assignment; C;C_1;G100;3rd;PROD153;se;Sweden;B÷rje
1-600663061;Medium;2011-11-09 13:36:53;Accepted;In Progress; C;C_1;G100;3rd;PROD153;se;Sweden;B÷rje
1-600663061;Medium;2012-01-03 11:03:09;Completed;Closed; C;C_1;G100;3rd;PROD153;se;Sweden;B÷rje
1-602870173;High;2011-11-06 09:00:41;Accepted;In Progress; C;E_10;G271;2nd;PROD802;se;Sweden;Praveen
1-602870173;High;2011-11-06 09:10:10;Queued;Awaiting Assignment; C;E_10;G271;2nd;PROD802;se;Sweden;Praveen
1-602870173;High;2011-11-07 08:35:18;Accepted;In Progress; C;E_10;G271;2nd;PROD802;se;Sweden;Sameer
1-602870173;High;2011-11-07 08:38:14;Queued;Awaiting Assignment; C;C_6;G273;3rd;PROD802;se;Sweden;Martin
1-602870173;High;2011-11-07 11:47:27;Queued;Awaiting Assignment; C;E_10;R6;2nd;PROD802;se;Sweden;Daniel
1-602870173;High;2011-11-09 12:08:35;Accepted;Assigned; C;E_10;R6;2nd;PROD802;se;Sweden;Daniel
1-602870173;High;2011-12-07 13:27:34;Queued;Awaiting Assignment; C;E_10;G271;2nd;PROD802;se;Sweden;Praveen
1-602870173;High;2011-12-07 13:29:22;Accepted;In Progress; C;E_10;G271;2nd;PROD802;se;Sweden;Arun
1-602870173;High;2011-12-07 13:29:55;Accepted;Assigned; C;E_10;G271;2nd;PROD802;se;Sweden;Partha
1-602870173;High;2011-12-07 13:50:32;Queued;Awaiting Assignment; C;C_6;G273;3rd;PROD802;se;Sweden;Martin
1-603798757;High;2011-11-07 11:57:05;Accepted;In Progress; C;E_8;G119;2nd;PROD597;in;INDIA;Anup
1-603798757;High;2012-05-23 12:07:40;Completed;Closed; C;E_8;G119;2nd;PROD597;in;INDIA;Anup
1-604882241;High;2011-11-08 19:21:15;Accepted;In Progress; C;;G163;3rd;PROD671;in;Sweden;Stefan
1-604882241;High;2011-11-08 19:30:30;Queued;Awaiting Assignment; C;;G163;3rd;PROD671;in;Sweden;Stefan
1-604882241;High;2011-11-11 07:58:22;Accepted;In Progress; C;E_7;G157;2nd;PROD671;in;Sweden;Stefan
1-604882241;High;2012-01-04 16:45:39;Queued;Awaiting Assignment; C;;G163;3rd;PROD671;in;Sweden;Stefan
1-605279637;High;2011-11-09 14:27:59;Accepted;In Progress; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Timothy
1-605279637;High;2012-02-15 11:44:42;Completed;Closed; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Timothy
1-606971198;High;2012-03-14 12:25:28;Accepted;In Progress; C;E_1;G99;2nd;PROD153;se;Sweden;Jari
1-607158761;High;2011-11-14 14:38:06;Accepted;In Progress; C;E_6;V29;2nd;PROD412;se;France;Bruno
1-607158761;High;2011-11-14 14:38:49;Accepted;In Progress; C;E_6;V29;2nd;PROD412;se;France;Bruno
1-607158761;High;2011-11-17 13:32:14;Queued;Awaiting Assignment; G4;;S30;2nd;PROD412;se;Sweden;Viktoria
1-607840637;Low;2011-11-15 14:15:57;Accepted;In Progress; G4;;S33;2nd;PROD448;se;Sweden;Rickard
1-607840637;Low;2012-01-27 13:46:02;Completed;Closed; G4;;S33;2nd;PROD448;se;Sweden;Rickard
1-607934151;High;2011-11-15 15:37:49;Accepted;Wait; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Alan
1-607934151;High;2012-02-15 11:35:45;Completed;Closed; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Alan
1-611506787;Low;2011-11-18 08:28:00;Accepted;In Progress; C;C_1;G100;3rd;PROD153;se;Sweden;B÷rje
1-611506787;Low;2011-12-27 14:47:10;Accepted;Wait; C;C_1;G100;3rd;PROD153;se;Sweden;B÷rje
1-611506787;Low;2012-01-03 10:49:38;Completed;Closed; C;C_1;G100;3rd;PROD153;se;Sweden;B÷rje
1-612515539;High;2011-11-19 20:35:42;Accepted;In Progress; C;E_10;G271;2nd;PROD802;se;Sweden;Praveen
1-612515539;High;2011-11-19 20:37:42;Queued;Awaiting Assignment; C;E_10;G271;2nd;PROD802;se;Sweden;Praveen
1-612515539;High;2011-11-21 08:07:43;Queued;Awaiting Assignment; C;C_6;G273;3rd;PROD802;se;Sweden;Martin
1-613033122;Medium;2011-11-21 09:34:45;Accepted;In Progress; G4;;S33;2nd;PROD374;se;Sweden;Roland
1-613033122;Medium;2011-11-28 16:12:09;Accepted;Wait; G4;;S33;2nd;PROD374;se;Sweden;Roland
1-613033122;Medium;2011-12-05 20:38:55;Accepted;In Progress; G4;;S33;2nd;PROD374;se;Sweden;Roland
1-613033122;Medium;2012-02-08 21:42:42;Completed;Closed; G4;;S33;2nd;PROD374;se;Sweden;Roland
1-613364032;Medium;2012-02-21 11:11:30;Queued;Awaiting Assignment; C;E_7;G162;2nd;PROD671;in;INDIA;-
1-616288482;Medium;2011-11-24 14:07:54;Accepted;In Progress; C;E_4;G88;2nd;PROD348;us;USA;Robert
1-616288482;Medium;2011-11-24 14:08:48;Accepted;In Progress; C;E_4;G88;2nd;PROD348;us;USA;Robert
1-616288482;Medium;2011-11-24 14:16:44;Accepted;Wait; C;E_4;G88;2nd;PROD348;us;USA;Robert
1-616288482;Medium;2011-11-24 14:20:36;Accepted;Assigned; C;E_4;G88;2nd;PROD348;us;USA;Robert
1-616409083;Medium;2011-11-24 17:30:30;Accepted;In Progress; C;E_8;G186;2nd;PROD473;in;Sweden;Jonas
1-616409083;Medium;2012-02-15 12:26:06;Completed;Closed; C;E_8;G186;2nd;PROD473;in;Sweden;Jonas
1-616409083;Medium;2012-02-15 15:54:41;Accepted;In Progress; C;E_8;G186;2nd;PROD473;in;Sweden;Jonas
1-616409083;Medium;2012-02-15 16:12:50;Completed;Closed; C;E_8;G186;2nd;PROD473;in;Sweden;Jonas
1-616977258;Low;2011-11-25 12:33:57;Accepted;In Progress; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-616977258;Low;2012-01-05 11:31:53;Accepted;Assigned; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-616977258;Low;2012-04-23 10:06:44;Accepted;In Progress; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-616977258;Low;2012-04-23 10:07:42;Completed;Closed; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-616993936;Medium;2011-11-25 11:23:38;Accepted;In Progress; C;E_10;G138;2nd;PROD659;se;Sweden;Ann-Charlotte
1-616993936;Medium;2011-11-25 11:28:42;Queued;Awaiting Assignment; C;E_10;G138;2nd;PROD659;se;Sweden;Ann-Charlotte
1-616993936;Medium;2011-11-25 11:32:07;Queued;Awaiting Assignment; C;E_10;G138;2nd;PROD659;se;Sweden;Ann-Charlotte
1-617049384;High;2011-11-25 15:08:25;Accepted;In Progress; C;C_6;G268;3rd;PROD805;se;Sweden;Vesa
1-617049384;High;2012-01-23 10:11:18;Completed;Closed; C;C_6;G268;3rd;PROD805;se;Sweden;Vesa
1-617084616;Medium;2011-11-25 16:02:27;Accepted;In Progress; G4;;S33;2nd;PROD374;se;Sweden;Roland
1-617084616;Medium;2011-12-05 08:23:00;Accepted;Wait; G4;;S33;2nd;PROD374;se;Sweden;Roland
1-617084616;Medium;2012-02-08 21:55:10;Completed;Closed; G4;;S33;2nd;PROD374;se;Sweden;Roland
1-617356985;Medium;2011-11-28 09:22:46;Accepted;In Progress; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-617356985;Medium;2011-11-29 09:48:55;Completed;Closed; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-617356985;Medium;2012-02-08 02:42:36;Accepted;In Progress; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-617356985;Medium;2012-02-08 03:04:57;Accepted;Wait; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-617356985;Medium;2012-03-07 12:54:59;Queued;Awaiting Assignment; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-617696569;Medium;2011-11-29 04:12:33;Accepted;In Progress; C;E_4;G93;2nd;PROD325;in;INDIA;Freddy
1-617696569;Medium;2011-12-19 04:43:18;Completed;Closed; C;E_4;G93;2nd;PROD325;in;INDIA;Freddy
1-617696569;Medium;2012-01-18 12:05:10;Accepted;In Progress; C;E_4;G93;2nd;PROD325;in;INDIA;Freddy
1-617696569;Medium;2012-01-18 12:07:06;Completed;Closed; C;E_4;G93;2nd;PROD325;in;INDIA;Freddy
1-617696569;Medium;2012-02-14 09:15:07;Accepted;In Progress; C;E_4;G93;2nd;PROD325;in;INDIA;Freddy
1-617696569;Medium;2012-02-14 09:15:35;Completed;Closed; C;E_4;G93;2nd;PROD325;in;INDIA;Freddy
1-618041243;High;2011-11-30 04:43:31;Accepted;In Progress; A2;A2_1;T17;2nd;PROD350;se;Sweden;Britt
1-618041243;High;2011-11-30 08:37:56;Queued;Awaiting Assignment; A2;A2_1;T17;2nd;PROD350;se;Sweden;Britt
1-618041243;High;2011-12-12 12:48:59;Accepted;In Progress; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-618041243;High;2011-12-12 14:52:54;Accepted;Wait; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-618041243;High;2012-01-19 16:18:51;Completed;Closed; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-618116069;Medium;2011-11-30 07:54:16;Accepted;In Progress; A2;A2_1;T17;2nd;PROD350;se;Sweden;Britt
1-618116069;Medium;2011-11-30 08:14:54;Queued;Awaiting Assignment; A2;A2_1;T17;2nd;PROD350;se;Sweden;Britt
1-618116069;Medium;2011-12-12 14:51:59;Accepted;In Progress; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-618116069;Medium;2011-12-12 14:52:05;Accepted;Wait; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-618116069;Medium;2012-01-19 16:30:17;Completed;Closed; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-618589528;High;2011-12-01 15:52:56;Accepted;In Progress; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Ian
1-618589528;High;2011-12-01 15:54:50;Accepted;Assigned; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Ian
1-618589528;High;2011-12-06 16:05:32;Accepted;In Progress; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Ian
1-619067777;Low;2011-12-02 10:46:41;Accepted;In Progress; A2;A2_1;T17;2nd;PROD350;cn;Sweden;Britt
1-619067777;Low;2011-12-02 10:47:20;Queued;Awaiting Assignment; A2;A2_1;T17;2nd;PROD350;cn;Sweden;Britt
1-619067777;Low;2011-12-12 14:52:12;Accepted;In Progress; A2;A2_1;J2;2nd;PROD350;cn;Sweden;Britt
1-619067777;Low;2011-12-12 14:52:18;Accepted;Wait; A2;A2_1;J2;2nd;PROD350;cn;Sweden;Britt
1-619109941;High;2011-12-06 11:35:01;Queued;Awaiting Assignment; C;E_4;G88;2nd;PROD436;se;USA;Robert
1-619109941;High;2011-12-06 12:50:12;Accepted;In Progress; C;E_10;G271;2nd;PROD436;se;Sweden;Praveen
1-619109941;High;2011-12-06 12:56:00;Queued;Awaiting Assignment; C;C_6;G273;3rd;PROD436;se;Sweden;Martin
1-619109941;High;2012-01-30 14:13:13;Queued;Awaiting Assignment; C;C_6;G273;3rd;PROD436;se;Sweden;Martin
1-619109941;High;2012-01-30 14:13:51;Queued;Awaiting Assignment; C;C_6;G273;3rd;PROD436;se;Sweden;Martin
1-619109941;High;2012-01-30 14:17:46;Queued;Awaiting Assignment; C;C_6;G273;3rd;PROD436;se;Sweden;Martin
1-619109941;High;2012-01-30 14:31:28;Accepted;In Progress; C;C_6;G273;3rd;PROD436;se;Sweden;Pascal
1-619146141;Medium;2011-12-02 13:57:32;Queued;Awaiting Assignment; C;C_6;G225;3rd;PROD13;fr;France;Olivier
1-619254483;High;2011-12-02 15:37:58;Accepted;In Progress; A2;A2_4;G118;2nd;PROD591;se;Sweden;Maria
1-619254483;High;2012-01-10 10:11:14;Completed;Closed; A2;A2_4;G118;2nd;PROD591;se;Sweden;Maria
1-619699161;High;2011-12-05 13:01:36;Accepted;In Progress; A2;A2_3;S21;2nd;PROD231;se;Sweden;Viktoria
1-619699161;High;2011-12-05 13:13:30;Queued;Awaiting Assignment; A2;A2_3;S21;2nd;PROD231;se;Sweden;Viktoria
1-619699161;High;2011-12-06 08:28:52;Accepted;In Progress; A2;A2_3;S21;2nd;PROD231;se;Sweden;Kristina
1-619699161;High;2011-12-06 09:41:47;Completed;Closed; A2;A2_3;S21;2nd;PROD231;se;Sweden;Kristina
1-619699161;High;2012-01-30 13:40:16;Accepted;Assigned; G4;;S30;2nd;PROD231;se;Sweden;David
1-619699161;High;2012-02-01 20:50:03;Accepted;In Progress; G4;;S30;2nd;PROD231;se;Sweden;David
1-619699161;High;2012-02-01 20:51:19;Completed;Closed; G4;;S30;2nd;PROD231;se;Sweden;David
1-620015297;Medium;2011-12-06 07:51:12;Accepted;In Progress; G4;;S33;2nd;PROD374;se;Sweden;Rickard
1-620015297;Medium;2012-02-08 14:12:13;Completed;Closed; G4;;S33;2nd;PROD374;se;Sweden;Rickard
1-620432583;High;2011-12-07 05:38:29;Accepted;In Progress; A2;A2_1;T17;2nd;PROD350;se;Sweden;Britt
1-620432583;High;2011-12-07 05:39:00;Queued;Awaiting Assignment; A2;A2_1;T17;2nd;PROD350;se;Sweden;Britt
1-620432583;High;2011-12-12 14:51:36;Accepted;In Progress; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-620432583;High;2011-12-12 14:51:48;Accepted;Wait; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-620432583;High;2012-01-19 15:53:52;Accepted;In Progress; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-620432583;High;2012-01-19 16:05:09;Completed;Closed; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-620483711;Medium;2011-12-07 09:12:52;Accepted;In Progress; C;E_10;G271;2nd;PROD802;se;Sweden;Praveen
1-620483711;Medium;2011-12-07 09:27:06;Queued;Awaiting Assignment; C;E_10;G271;2nd;PROD802;se;Sweden;Praveen
1-620483711;Medium;2011-12-08 08:57:49;Queued;Awaiting Assignment; C;C_6;G273;3rd;PROD802;se;Sweden;Martin
1-620483711;Medium;2011-12-14 12:58:14;Accepted;In Progress; C;C_6;G273;3rd;PROD802;se;Sweden;Martin
1-620925267;High;2011-12-08 11:10:07;Accepted;In Progress; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Ian
1-620925267;High;2011-12-08 11:19:05;Accepted;Assigned; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Ian
1-620925267;High;2011-12-13 12:56:25;Accepted;In Progress; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Ian
1-621039603;Medium;2011-12-08 12:59:55;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-621039603;Medium;2012-01-04 16:43:32;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-621311061;Medium;2011-12-09 08:18:16;Accepted;In Progress; D;D_2;G121;2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2011-12-09 08:22:15;Completed;Closed; D;D_2;G121;2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2011-12-12 11:34:36;Accepted;In Progress; D;D_2;G121;2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2011-12-12 11:38:44;Accepted;In Progress; D;D_2;G121;2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2011-12-21 12:01:07;Completed;Closed; D;D_2;G121;2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2012-01-06 11:08:42;Accepted;In Progress; C;E_8;G119;2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2012-01-06 11:09:47;Completed;Closed; C;E_8;G119;2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2012-01-06 13:35:53;Accepted;In Progress; C;E_8;G119;2nd;PROD597;in;Sweden;Bikshamaiah
1-621311061;Medium;2012-02-17 10:12:40;Completed;Closed; C;E_8;G119;2nd;PROD597;in;Sweden;Bikshamaiah
1-621322866;Medium;2011-12-09 08:13:39;Accepted;In Progress; C;C_6;G290;3rd;PROD154;se;Sweden;Mikael
1-621322866;Medium;2012-01-17 14:00:57;Completed;Closed; C;C_6;G290;3rd;PROD154;se;Sweden;Mikael
1-621393223;Medium;2011-12-09 11:38:35;Accepted;In Progress; C;E_1;G55;2nd;PROD745;br;Belgium;Peter
1-621393223;Medium;2011-12-09 12:33:04;Queued;Awaiting Assignment; C;E_1;G55;2nd;PROD745;br;Belgium;Peter
1-621393223;Medium;2011-12-09 12:44:12;Queued;Awaiting Assignment; C;C_1;G56;3rd;PROD745;br;Belgium;Peter
1-621393223;Medium;2011-12-09 13:31:39;Accepted;Assigned; C;C_1;G56;3rd;PROD745;br;Sweden;Marie
1-621393223;Medium;2012-04-20 16:34:45;Accepted;In Progress; B;E_6;S4;2nd;PROD745;br;Brazil;Thiago
1-621393223;Medium;2012-04-20 16:34:51;Completed;Closed; B;E_6;S4;2nd;PROD745;br;Brazil;Thiago
1-622295317;Medium;2011-12-12 15:33:32;Accepted;In Progress; A2;A2_2;G22;2nd;PROD631;fr;France;Frederic
1-622295317;Medium;2012-03-02 11:22:18;Accepted;Wait; A2;A2_2;G22;2nd;PROD631;fr;France;Frederic
1-622295317;Medium;2012-03-22 15:45:50;Completed;Closed; A2;A2_2;G22;2nd;PROD631;fr;France;Frederic
1-622618613;Low;2011-12-13 04:07:15;Accepted;In Progress; A2;A2_1;T17;2nd;PROD350;se;Sweden;Britt
1-622618613;Low;2011-12-13 04:07:39;Queued;Awaiting Assignment; A2;A2_1;T17;2nd;PROD350;se;Sweden;Britt
1-622618613;Low;2011-12-13 07:11:12;Accepted;In Progress; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-622618613;Low;2011-12-13 07:11:20;Accepted;Wait; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-622618613;Low;2012-01-19 16:38:31;Completed;Closed; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-622652886;Low;2011-12-13 09:52:25;Accepted;In Progress; C;E_8;G119;2nd;PROD597;in;Sweden;Bikshamaiah
1-622652886;Low;2012-04-30 16:41:11;Completed;Closed; C;E_8;G119;2nd;PROD597;in;Sweden;Bikshamaiah
1-622783644;Low;2011-12-13 10:19:11;Accepted;In Progress; C;E_4;G89;2nd;PROD436;in;INDIA;Sameer
1-622783644;Low;2011-12-26 13:32:16;Accepted;Wait; C;E_4;G89;2nd;PROD436;in;INDIA;Sameer
1-622783644;Low;2012-05-18 08:01:25;Accepted;In Progress; C;E_4;G89;2nd;PROD436;in;INDIA;Sameer
1-622783644;Low;2012-05-18 08:02:02;Completed;Closed; C;E_4;G89;2nd;PROD436;in;INDIA;Sameer
1-622847448;Medium;2011-12-13 15:36:57;Accepted;In Progress; A2;A2_4;G105;2nd;PROD337;se;Sweden;Venkata
1-622847448;Medium;2012-03-13 14:23:34;Accepted;Assigned; A2;A2_4;G105;2nd;PROD337;se;Sweden;Venkata
1-622856843;High;2011-12-13 11:27:52;Accepted;In Progress; C;;V34;2nd;PROD424;fr;France;Michel
1-622856843;High;2012-01-24 09:29:10;Completed;Closed; C;;V34;2nd;PROD424;fr;France;Michel
1-622940906;High;2011-12-13 13:52:14;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-622940906;High;2012-01-13 10:07:55;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-622940906;High;2012-01-17 11:10:00;Completed;Closed; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-623873811;High;2011-12-14 16:16:05;Accepted;In Progress; C;E_10;G288;2nd;PROD408;us;Sweden;Rakesh
1-623873811;High;2011-12-14 16:16:44;Queued;Awaiting Assignment; C;E_10;G288;2nd;PROD408;us;Sweden;Rakesh
1-623873811;High;2012-01-25 16:21:33;Accepted;In Progress; C;V3_3;N22;2nd;PROD408;us;USA;Kymaria
1-623873811;High;2012-01-25 16:23:52;Accepted;Wait; C;V3_3;N22;2nd;PROD408;us;USA;Kymaria
1-623873811;High;2012-02-17 17:02:19;Completed;Closed; C;V3_3;N22;2nd;PROD408;us;USA;Kymaria
1-624219528;Low;2011-12-15 10:55:26;Accepted;In Progress; G4;;S33;2nd;PROD374;se;Sweden;Rickard
1-624219528;Low;2012-03-27 10:36:54;Completed;Closed; G4;;S33;2nd;PROD374;se;Sweden;Rickard
1-624403918;Medium;2012-01-10 13:26:31;Queued;Awaiting Assignment; C;E_10;G276;2nd;PROD698;in;Sweden;Prasad
1-624450715;High;2011-12-15 15:23:36;Accepted;In Progress; C;E_6;G48;2nd;PROD148;se;Sweden;Mikael
1-624450715;High;2011-12-15 15:23:45;Accepted;Wait; C;E_6;G48;2nd;PROD148;se;Sweden;Mikael
1-624450715;High;2012-03-30 13:07:57;Completed;Closed; C;E_6;G48;2nd;PROD148;se;Sweden;Mikael
1-624745314;High;2011-12-16 09:51:26;Accepted;In Progress; G4;;S33;2nd;PROD374;se;Sweden;Rickard
1-624745314;High;2012-02-08 14:15:41;Completed;Closed; G4;;S33;2nd;PROD374;se;Sweden;Rickard
1-625322174;Major;2011-12-17 12:18:28;Accepted;In Progress; C;C_6;G225;3rd;PROD793;fr;France;Olivier
1-625322174;Major;2011-12-17 12:19:36;Queued;Awaiting Assignment; C;C_6;G225;3rd;PROD793;fr;France;Olivier
1-625459293;Low;2011-12-19 03:13:32;Accepted;In Progress; A2;A2_1;T17;2nd;PROD350;se;Sweden;Britt
1-625459293;Low;2011-12-19 03:14:22;Queued;Awaiting Assignment; A2;A2_1;T17;2nd;PROD350;se;Sweden;Britt
1-625459293;Low;2012-01-05 14:08:46;Accepted;In Progress; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-625459293;Low;2012-01-05 14:25:39;Accepted;Wait; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-625459293;Low;2012-01-19 16:33:55;Completed;Closed; A2;A2_1;J2;2nd;PROD350;se;Sweden;Britt
1-626515794;High;2011-12-20 14:07:40;Accepted;In Progress; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Ian
1-626515794;High;2011-12-20 14:26:59;Accepted;Assigned; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Ian
1-626515794;High;2011-12-23 15:33:36;Accepted;Assigned; A2;A2_1;G42;3rd;PROD236;gb;United Kingdom;Ian
1-627630611;Medium;2011-12-21 15:43:03;Accepted;In Progress; C;E_10;G285;2nd;PROD646;se;Sweden;Leif
1-627630611;Medium;2011-12-21 15:46:04;Queued;Awaiting Assignment; C;E_10;G285;2nd;PROD646;se;Sweden;Leif
1-628078553;Medium;2011-12-22 13:59:52;Accepted;In Progress; A2;A2_4;G105;2nd;PROD337;se;Sweden;Vikrant
1-628078553;Medium;2012-04-19 16:42:44;Completed;Closed; A2;A2_4;G105;2nd;PROD337;se;Sweden;Vikrant
1-628105478;High;2011-12-22 14:57:58;Accepted;In Progress; G4;;G51;2nd;PROD337;se;Sweden;Ing-Marie
1-628105478;High;2012-02-02 12:54:54;Accepted;Assigned; G4;;G51;2nd;PROD337;se;Sweden;Ing-Marie
1-628203323;Low;2011-12-22 17:18:37;Accepted;In Progress; C;E_7;G165;2nd;PROD424;in;INDIA;-
1-628203323;Low;2011-12-22 17:21:45;Accepted;In Progress; C;E_7;G165;2nd;PROD424;in;INDIA;-
1-628203323;Low;2011-12-26 16:36:48;Accepted;Assigned; C;E_7;G165;2nd;PROD424;in;INDIA;Rajkishore
1-628203323;Low;2011-12-27 11:05:29;Accepted;In Progress; C;E_7;G165;2nd;PROD424;in;INDIA;Rajkishore
1-628203323;Low;2012-01-17 21:43:17;Accepted;Wait; C;E_7;G165;2nd;PROD424;in;INDIA;Rajkishore
1-628203323;Low;2012-04-03 21:11:09;Accepted;In Progress; C;E_7;G165;2nd;PROD424;in;INDIA;Rajkishore
1-628203323;Low;2012-05-08 02:29:27;Completed;Closed; C;E_7;G165;2nd;PROD424;in;INDIA;Rajkishore
1-628669941;Low;2011-12-23 10:46:51;Accepted;In Progress; C;E_7;G160;2nd;PROD673;se;Sweden;Peter
1-628669941;Low;2012-01-02 09:24:05;Completed;Closed; C;E_7;G160;2nd;PROD673;se;Sweden;Peter
1-631001113;Medium;2011-12-29 13:34:26;Accepted;In Progress; A2;A2_4;G118;2nd;PROD591;se;Sweden;Maria
1-631001113;Medium;2012-01-02 08:23:31;Completed;Closed; A2;A2_4;G118;2nd;PROD591;se;Sweden;Maria
1-631117870;High;2011-12-30 00:45:55;Accepted;In Progress; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-631117870;High;2011-12-30 00:47:40;Accepted;Wait; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-631117870;High;2011-12-30 00:49:46;Accepted;Wait; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-631117870;High;2012-01-24 09:38:12;Queued;Awaiting Assignment; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-631117870;High;2012-03-07 13:19:55;Queued;Awaiting Assignment; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-631117870;High;2012-03-12 19:24:36;Accepted;In Progress; C;E_4;G88;2nd;PROD793;us;Sweden;Vaibhav
1-631117870;High;2012-03-19 09:54:09;Completed;Closed; C;E_4;G88;2nd;PROD793;us;Sweden;Vaibhav
1-634487640;Medium;2012-01-04 11:50:05;Accepted;In Progress; A2;A2_4;G105;2nd;PROD337;se;Sweden;Vikrant
1-634487640;Medium;2012-01-25 14:31:46;Completed;Closed; A2;A2_4;G105;2nd;PROD337;se;Sweden;Vikrant
1-634506651;Medium;2012-01-04 12:36:18;Accepted;In Progress; C;V3_1;G346;1st;PROD631;se;Sweden;Kjell
1-634506651;Medium;2012-01-04 12:53:35;Completed;Closed; C;V3_1;G346;1st;PROD631;se;Sweden;Kjell
1-634533656;Low;2012-01-04 13:02:22;Accepted;In Progress; C;E_7;G160;2nd;PROD673;se;Sweden;Peter
1-634533656;Low;2012-01-09 13:11:00;Completed;Closed; C;E_7;G160;2nd;PROD673;se;Sweden;Peter
1-635382525;Medium;2012-01-05 14:48:54;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-635382525;Medium;2012-01-10 15:36:47;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-636080278;Medium;2012-01-06 15:40:03;Accepted;In Progress; C;E_10;G236;2nd;PROD494;us;Sweden;Prasad
1-636080278;Medium;2012-01-06 15:51:57;Queued;Awaiting Assignment; C;E_10;G236;2nd;PROD494;us;Sweden;Prasad
1-636080278;Medium;2012-01-09 12:54:45;Queued;Awaiting Assignment; C;E_10;G236;2nd;PROD494;us;Sweden;Prasad
1-636080278;Medium;2012-01-09 15:28:35;Accepted;In Progress; C;E_10;G236;2nd;PROD494;us;Sweden;Jitender
1-636102195;Medium;2012-01-06 16:05:47;Accepted;In Progress; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-636102195;Medium;2012-01-06 16:15:10;Accepted;Wait; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-636102195;Medium;2012-01-21 03:17:23;Queued;Awaiting Assignment; C;E_4;G88;2nd;PROD793;us;USA;Robert
1-636102195;Medium;2012-02-29 13:04:23;Accepted;Assigned; C;E_4;G88;2nd;PROD793;us;INDIA;Hineesh
